Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time ,Average Content Size ,Requests/s         ,Failures/s ,50% ,66% ,75% ,80% ,90% ,95% ,98% ,99% ,99.9% ,99.99% ,100%
GET  ,/2024/05/10/teste/  ,         2824 ,            0 ,                  68 ,   114.21331189341522 ,29.76453000019319  ,843.7524490000214 ,   41382.0           ,14.832292022689648 ,       0.0 , 68 ,110 ,150 ,180 ,260 ,350 ,440 ,500 ,  770 ,   840 , 840
GET  ,/2024/05/11/teste2/ ,         2818 ,            0 ,                  77 ,   128.10000637011868 ,35.629898000024696 ,962.0700300001772 ,  338947.0           ,14.800778654369486 ,       0.0 , 77 ,110 ,160 ,190 ,300 ,410 ,530 ,580 ,  810 ,   960 , 960
GET  ,/2024/05/11/teste3/ ,         2814 ,            0 ,                  66 ,   109.82732129424713 ,29.30805000005421  ,793.2573329999286 ,   30769.0           ,14.779769742156045 ,       0.0 , 66 , 99 ,140 ,170 ,260 ,340 ,420 ,510 ,  690 ,   790 , 790
GET  ,/?p=1               ,         1509 ,            0 ,                  69 ,   116.15869650231645 ,29.34526300032303  ,744.1745699998137 ,   31753.0           , 7.925612132520779 ,       0.0 , 69 ,110 ,140 ,180 ,280 ,360 ,460 ,530 ,  670 ,   740 , 740
     ,Aggregated          ,         9965 ,            0 ,                  70 ,   117.19636386171668 ,29.30805000005421  ,962.0700300001772 ,  121075.22900150527 ,52.33845255173596  ,       0.0 , 70 ,110 ,150 ,180 ,270 ,370 ,460 ,540 ,  770 ,   960 , 960
