Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time  ,Average Content Size ,Requests/s         ,Failures/s ,50%  ,66%  ,75%  ,80%  ,90%  ,95%  ,98%  ,99%  ,99.9% ,99.99% ,100%
GET  ,/2024/05/10/teste/  ,        16082 ,            0 ,              2400.0 ,   2214.3195200311    ,29.616230999636173 ,7689.2500140002085 ,   41382.0           ,24.799572878839268 ,       0.0 ,2400 ,3100 ,3500 ,3700 ,4200 ,4500 ,4900 ,5200 , 6400 ,  7300 ,7700
GET  ,/2024/05/11/teste2/ ,        15964 ,            0 ,              2600.0 ,   2418.638500451063  ,35.58529600013571  ,7699.963674999708  ,  338947.0           ,24.61760859580836  ,       0.0 ,2600 ,3400 ,3800 ,4000 ,4500 ,4900 ,5300 ,5600 , 6800 ,  7600 ,7700
GET  ,/2024/05/11/teste3/ ,        15853 ,            0 ,              2300.0 ,   2196.207390587904  ,28.791730999728316 ,7386.714012000084  ,   30769.0           ,24.446438804143693 ,       0.0 ,2300 ,3100 ,3500 ,3700 ,4200 ,4500 ,4900 ,5200 , 6400 ,  7300 ,7400
GET  ,/?p=1               ,         8003 ,            0 ,              2400.0 ,   2225.9844095511594 ,29.30597700014914  ,7298.757124000076  ,   31753.0           ,12.3411877720029   ,       0.0 ,2400 ,3100 ,3500 ,3700 ,4200 ,4500 ,5000 ,5200 , 6400 ,  7300 ,7300
     ,Aggregated          ,        55902 ,            0 ,              2400.0 ,   2269.2007537291815 ,28.791730999728316 ,7699.963674999708  ,  121969.79442595971 ,86.20480805079421  ,       0.0 ,2400 ,3200 ,3600 ,3800 ,4300 ,4600 ,5100 ,5400 , 6600 ,  7300 ,7700
