Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time  ,Average Content Size ,Requests/s          ,Failures/s         ,50% ,66%  ,75%  ,80%  ,90%  ,95%  ,98%  ,99%  ,99.9% ,99.99% ,100%
GET  ,/2024/05/10/teste/  ,        61984 ,        30961 ,               720.0 ,    2400.294661236217 ,1.6620819997115177 ,14113.631396000528 ,  20725.3374257873   , 47.5013614450524   ,23.726923911013607 ,720 ,3200 ,4900 ,5600 ,6800 ,7500 ,8300 ,9000 ,11000 , 13000 ,14000
GET  ,/2024/05/11/teste2/ ,        61749 ,        31082 ,               690.0 ,    2475.108320198559 ,1.2111960004403954 ,15234.31202500069  , 168345.90109961294  , 47.321269486811765 ,23.81965211078857  ,690 ,3400 ,5100 ,5800 ,7100 ,7800 ,8600 ,9300 ,12000 , 13000 ,15000
GET  ,/2024/05/11/teste3/ ,        61560 ,        30873 ,               640.0 ,    2349.130849359941 ,1.264376999642991  ,14605.35399499986  ,  15348.99142300195  , 47.176429571460794 ,23.659485220268177 ,640 ,3100 ,4900 ,5600 ,6700 ,7400 ,8200 ,8900 ,11000 , 13000 ,15000
GET  ,/?p=1               ,        31149 ,        15657 ,               690.0 ,    2369.034151045759 ,1.524080999843136  ,13938.894125000843 ,  15806.049311374361 , 23.87099747760611  ,11.998722511376894 ,690 ,3100 ,4900 ,5600 ,6800 ,7500 ,8300 ,9000 ,12000 , 13000 ,14000
     ,Aggregated          ,       216442 ,       108573 ,               680.0 ,    2402.587611478034 ,1.2111960004403954 ,15234.31202500069  ,  60603.1033902847   ,165.87005798093108  ,83.20478375344724  ,680 ,3200 ,5000 ,5700 ,6900 ,7600 ,8400 ,9100 ,11000 , 13000 ,15000
