Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time ,Average Content Size ,Requests/s         ,Failures/s ,50% ,66% ,75% ,80% ,90% ,95% ,98% ,99% ,99.9% ,99.99% ,100%
GET  ,/2024/05/06/teste/  ,         2503 ,            0 ,                98   ,   122.82802048622591 ,40.12033400067594  ,980.4053799998655 ,   33940.0           ,14.559497980942483 ,       0.0 , 98 ,120 ,130 ,150 ,200 ,290 ,430 ,490 ,  810 ,   980 , 980
GET  ,/2024/05/15/teste2/ ,         2500 ,            0 ,               120.0 ,   144.9085397812154  ,51.410792000751826 ,900.5770610001491 ,  485761.0           ,14.542047523913787 ,       0.0 ,120 ,140 ,160 ,170 ,240 ,350 ,480 ,580 ,  820 ,   900 , 900
GET  ,/2024/05/15/teste3/ ,         2498 ,            0 ,                94   ,   115.61471291473987 ,35.512200000084704 ,916.2174620014412 ,   30722.0           ,14.530413885894657 ,       0.0 , 94 ,110 ,130 ,140 ,190 ,280 ,400 ,480 ,  770 ,   920 , 920
GET  ,/?p=1               ,         1252 ,            0 ,                97   ,   119.11068297204179 ,37.09579899987148  ,848.8029039999674 ,   31748.0           , 7.282657399976024 ,       0.0 , 97 ,120 ,130 ,150 ,200 ,280 ,390 ,500 ,  660 ,   850 , 850
     ,Aggregated          ,         8753 ,            0 ,               100.0 ,   126.54427198355727 ,35.512200000084704 ,980.4053799998655 ,  161755.55489546442 ,50.91461679072695  ,       0.0 ,100 ,120 ,140 ,150 ,210 ,300 ,430 ,520 ,  820 ,   980 , 980
