Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time ,Max Response Time  ,Average Content Size ,Requests/s          ,Failures/s         ,50%  ,66%  ,75%  ,80%  ,90%  ,95%  ,98%   ,99%   ,99.9% ,99.99% ,100%
GET  ,/2024/05/06/teste/  ,        49414 ,        21670 ,              2100.0 ,   3176.681157302452  ,6.05501699828892  ,43817.607668001074 ,  20203.434127979926 , 39.64185055883923  ,17.384524661230543 ,2100 ,4100 ,5100 ,5800 ,7400 ,8900 ,11000 ,14000 ,34000 , 42000 ,44000
GET  ,/2024/05/15/teste2/ ,        49160 ,        22479 ,              2200.0 ,   2852.235511484473  ,6.616775999646052 ,33242.63487999997  , 264850.32984133443  , 39.438081788006166 ,18.033536218726415 ,2200 ,3700 ,4700 ,5500 ,6900 ,8000 , 9300 ,10000 ,15000 , 22000 ,33000
GET  ,/2024/05/15/teste3/ ,        48951 ,        22174 ,              1900.0 ,   2626.141153913996  ,7.069172001138213 ,21105.957150000904 ,  18003.978509121367 , 39.27041378365927  ,17.788853245875686 ,1900 ,3500 ,4400 ,5100 ,6300 ,7300 , 8500 , 9200 ,12000 , 16000 ,21000
GET  ,/?p=1               ,        24767 ,        10891 ,              2000.0 ,   3148.134805132759  ,7.698511000853614 ,43197.6088600004   ,  18936.204546372188 , 19.869059634734512 , 8.737187728909177 ,2000 ,4000 ,5100 ,5800 ,7400 ,8800 ,11000 ,13000 ,33000 , 42000 ,43000
     ,Aggregated          ,       172292 ,        77214 ,              2100.0 ,   2923.5861838941146 ,6.05501699828892  ,43817.607668001074 ,  89201.3583857637   ,138.21940576523917  ,61.944101854741824 ,2100 ,3800 ,4800 ,5500 ,7000 ,8200 , 9700 ,11000 ,30000 , 40000 ,44000
