Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time ,Average Content Size ,Requests/s         ,Failures/s ,50% ,66% ,75% ,80% ,90% ,95% ,98% ,99% ,99.9% ,99.99% ,100%
GET  ,/2024/05/10/teste/  ,         5593 ,            0 ,                  45 ,   63.96429811353495  ,28.11642900002198  ,712.4333840000077 ,   41382.0           ,17.82420783966767  ,       0.0 , 45 , 59 , 71 , 81 ,110 ,150 ,220 ,280 ,  460 ,   710 , 710
GET  ,/2024/05/11/teste2/ ,         5592 ,            0 ,                  52 ,   71.2931101276827   ,34.48320299997931  ,758.8883399999986 ,  338947.0           ,17.82102096181327  ,       0.0 , 52 , 65 , 77 , 87 ,120 ,170 ,230 ,290 ,  530 ,   760 , 760
GET  ,/2024/05/11/teste3/ ,         5592 ,            0 ,                  44 ,   59.94692652575048  ,27.77518899995357  ,604.0292199999726 ,   30769.0           ,17.82102096181327  ,       0.0 , 44 , 54 , 65 , 73 ,100 ,140 ,200 ,250 ,  490 ,   600 , 600
GET  ,/?p=1               ,         2836 ,            0 ,                  44 ,   61.947352577573675 ,28.164941999989423 ,627.9533460000266 ,   31753.0           , 9.037985595082697 ,       0.0 , 44 , 56 , 69 , 80 ,110 ,150 ,200 ,250 ,  540 ,   630 , 630
     ,Aggregated          ,        19613 ,            0 ,                  47 ,   64.61679988910393  ,27.77518899995357  ,758.8883399999986 ,  121804.56360577168 ,62.50423535837691  ,       0.0 , 47 , 59 , 71 , 81 ,110 ,160 ,210 ,270 ,  510 ,   710 , 760
