Type ,Name                ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time  ,Average Content Size ,Requests/s         ,Failures/s          ,50%  ,66%  ,75%  ,80%  ,90%  ,95%   ,98%   ,99%   ,99.9% ,99.99% ,100%
GET  ,/2024/05/10/teste/  ,        84527 ,        51140 ,              1300.0 ,   2896.2141481591807 ,1.9239500002186105 ,36502.779839999675 ,  17882.382481337325 , 52.06554399162059 , 31.50037171236974  ,1300 ,2400 ,3900 ,5000 ,8600 ,11000 ,15000 ,18000 ,28000 , 33000 ,37000
GET  ,/2024/05/11/teste2/ ,        84371 ,        53326 ,               860.0 ,   2190.1347803935746 ,1.6660890000821382 ,31017.25258100032  , 126237.04584513637  , 51.96945369073812 , 32.84686785165876  , 860 ,1600 ,2600 ,3600 ,6800 , 9900 ,12000 ,13000 ,18000 , 27000 ,31000
GET  ,/2024/05/11/teste3/ ,        84186 ,        52719 ,               850.0 ,   2170.7546242246253 ,1.3679989997399389 ,30559.078453999973 ,  13031.428586700877 , 51.85550044930698 , 32.472978027071186 , 850 ,1600 ,2600 ,3800 ,6700 , 9400 ,11000 ,13000 ,20000 , 27000 ,31000
GET  ,/?p=1               ,        41724 ,        25159 ,              1200.0 ,   2857.6040753241846 ,2.2672190002595016 ,35303.383932999626 ,  14133.579714313106 , 25.70045970525841 , 15.497024871167586 ,1200 ,2400 ,3800 ,4900 ,8500 ,11000 ,15000 ,19000 ,28000 , 33000 ,35000
     ,Aggregated          ,       294808 ,       182344 ,               990.0 ,   2481.5133106693816 ,1.3679989997399389 ,36502.779839999675 ,  46976.55174215083  ,181.5909578369241  ,112.31724246226726  , 990 ,1900 ,3200 ,4300 ,7600 ,10000 ,13000 ,15000 ,25000 , 31000 ,37000
