Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/05/10/teste/,41785,23103,170.0,815.218400230397,2.8868520000742137,15959.619341000007,19964.7974632045,48.11475275149574,26.60273143036511,170,490,830,1100,2800,4300,5600,6400,8200,9700,16000
GET,/2024/05/11/teste2/,41701,23450,150.0,909.693055283755,2.555983999855016,12193.838667000022,149832.62744298697,48.01802810793643,27.002296326973198,150,520,920,1300,3200,4900,6300,7100,9200,11000,12000
GET,/2024/05/11/teste3/,41626,23438,140.0,770.2688076934785,2.652255000157311,10239.145315999962,14934.020083601596,47.931666819044196,26.98847852075044,140,450,770,1100,2600,4200,5400,6100,7800,9600,10000
GET,/?p=1,20835,11553,170.0,805.5407779717318,2.7917400000205816,10357.57717499996,15613.178977681786,23.99116605426382,13.303092940960399,170,490,810,1100,2700,4300,5600,6400,8300,10000,10000
,Aggregated,145947,81544,150.0,828.0105959704933,2.555983999855016,15959.619341000007,55015.47522730855,168.0556137327402,93.89659921904915,150,490,830,1200,2800,4500,5800,6500,8600,10000,16000
